Reasons of CAM use, cost coverage, source of information and communication in Swiss pediatric IBD patients

Question,Answer,N (%)
What were your reasons for CAM?,Enforcement of immune system,20 (28)
What were your reasons for CAM?,Could help, no side effects,40 (56)
What were your reasons for CAM?,Recommended by physician,18 (25)
What were your reasons for CAM?,Recommended by friends/family,12 (17)
What were your reasons for CAM?,Cost-efficient,1 (1)
What were your reasons for CAM?,Easy availability,0 (0)
What were your reasons for CAM?,Other reasons,13 (18)
Did you pay for the complementary treatment yourself?,Yes, completely,29 (32)
Did you pay for the complementary treatment yourself?,Yes, partially,30 (33)
Did you pay for the complementary treatment yourself?,No, insurance covered the costs,31 (34)
Did you inform your treating physician about your use of CAM?,Yes,37 (51)
Did you inform your treating physician about your use of CAM?,Yes, partially,18 (25)
Did you inform your treating physician about your use of CAM?,No,9 (12)
Did you inform your treating physician about your use of CAM?,Do not know,2 (3)
How and where do you obtain information on complementary medicine treatment options?,Family,27 (37)
How and where do you obtain information on complementary medicine treatment options?,Friends/neighbours,19 (26)
How and where do you obtain information on complementary medicine treatment options?,Internet/social media,27 (37)
How and where do you obtain information on complementary medicine treatment options?,General practitioner,14 (19)
How and where do you obtain information on complementary medicine treatment options?,Support group,6 (8)